holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
CCL,Carnival Corp Ltd,F1OF2ZSX47CR0BCWA982,Carnival Corp Ltd,N/A,BMG2004J1036,CCL,433,NS,USD,13072.27,0.39,Long,EC,CORP,US,N,1,N,N,N
CMCSA,Comcast Corp,51M0QTTNCGUN7KFCFZ59,Comcast Corp,20030N101,US20030N1019,CMCSA,433,NS,USD,9664.56,0.29,Long,EC,CORP,US,N,1,N,N,N
COIN,Coinbase Global Inc,5493004G3J2SC154DU06,Coinbase Global Inc,19260Q107,US19260Q1076,COIN,86,NS,USD,14176.24,0.42,Long,EC,CORP,US,N,1,N,N,N
CPAY,Corpay Inc,549300DG6RR0NQSFLN74,Corpay Inc,219948106,US2199481068,CPAY,27,NS,USD,9373.59,0.28,Long,EC,CORP,US,N,1,N,N,N
CPRT,Copart Inc,549300KVYX3JWMYEHU61,Copart Inc,217204106,US2172041061,CPRT,365,NS,USD,10760.2,0.32,Long,EC,CORP,US,N,1,N,N,N
CRM,Salesforce Inc,RCGZFPDMRW58VJ54VR07,Salesforce Inc,79466L302,US79466L3024,CRM,183,NS,USD,27471.96,0.82,Long,EC,CORP,US,N,1,N,N,N
CRWD,Crowdstrike Holdings Inc,549300YBY08K9KM4HX32,Crowdstrike Holdings Inc,22788C105,US22788C1053,CRWD,26,NS,USD,17561.44,0.52,Long,EC,CORP,US,N,1,N,N,N
CTAS,Cintas Corp,N/A,Cintas Corp,172908105,US1729081059,CTAS,123,NS,USD,20842.35,0.62,Long,EC,CORP,US,N,1,N,N,N
CVNA,Carvana Co,5493003WEAK2PJ5WS063,Carvana Co,146869102,US1468691027,CVNA,226,NS,USD,15067.42,0.45,Long,EC,CORP,US,N,1,N,N,N
CVS,CVS Health Corp,549300EJG376EN5NQE29,CVS Health Corp,126650100,US1266501006,CVS,88,NS,USD,8914.4,0.26,Long,EC,CORP,US,N,1,N,N,N
CVX,Chevron Corp,N/A,Chevron Corp,166764100,US1667641005,CVX,83,NS,USD,14529.98,0.43,Long,EC,CORP,US,N,1,N,N,N
DASH,DoorDash Inc,549300NUQ43FGGSK5051,DoorDash Inc,25809K105,US25809K1051,DASH,118,NS,USD,20305.44,0.60,Long,EC,CORP,US,N,1,N,N,N
DDOG,Datadog Inc,549300F6JNO0KRPO1K63,Datadog Inc,23804L103,US23804L1035,DDOG,105,NS,USD,23243.85,0.69,Long,EC,CORP,US,N,1,N,N,N
DELL,Dell Technologies Inc,549300TJB5YBRUPOG437,Dell Technologies Inc,24703L202,US24703L2025,DELL,129,NS,USD,54013.59,1.60,Long,EC,CORP,US,N,1,N,N,N
DHR,Danaher Corp,S4BKK9OTCEWQ3YHPFM11,Danaher Corp,235851102,US2358511028,DHR,183,NS,USD,32608.77,0.97,Long,EC,CORP,US,N,1,N,N,N
DLTR,Dollar Tree Inc,549300PMSTQITB1WHR43,Dollar Tree Inc,256746108,US2567461080,DLTR,78,NS,USD,8886.54,0.26,Long,EC,CORP,US,N,1,N,N,N
EL,Estee Lauder Cos Inc/The,549300VFZ8XJ9NUPU221,Estee Lauder Cos Inc/The,518439104,US5184391044,EL,134,NS,USD,11327.02,0.34,Long,EC,CORP,US,N,1,N,N,N
EXPE,Expedia Group Inc,2549009GW3Z3DQCB8H87,Expedia Group Inc,30212P303,US30212P3038,EXPE,44,NS,USD,10472.88,0.31,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,77797.73,NS,USD,77797.73,2.31,Long,STIV,RF,US,N,1,N,N,N
FOXA,Fox Corp,549300DDU6FDRBIELS05,Fox Corp,35137L105,US35137L1052,FOXA,199,NS,USD,9828.61,0.29,Long,EC,CORP,US,N,1,N,N,N
FTNT,Fortinet Inc,549300O0QJWDBAS0QX03,Fortinet Inc,34959E109,US34959E1091,FTNT,194,NS,USD,28205.66,0.84,Long,EC,CORP,US,N,1,N,N,N
GD,General Dynamics Corp,9C1X8XOOTYY2FNYTVH06,General Dynamics Corp,369550108,US3695501086,GD,30,NS,USD,10300.8,0.31,Long,EC,CORP,US,N,1,N,N,N
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,1111,NS,USD,388494.48,11.53,Long,EC,CORP,US,N,1,N,N,N
GRMN,Garmin Ltd,2549001E0HIPIJQ0W046,Garmin Ltd,N/A,CH0114405324,GRMN,66,NS,USD,15598.44,0.46,Long,EC,CORP,CH,N,1,N,N,N
GS,Goldman Sachs Group Inc/The,784F5XWPLTWKTBV3E584,Goldman Sachs Group Inc/The,38141G104,US38141G1040,GS,11,NS,USD,12170.07,0.36,Long,EC,CORP,US,N,1,N,N,N
GWW,WW Grainger Inc,549300TWZSP6O1IH2V34,WW Grainger Inc,384802104,US3848021040,GWW,14,NS,USD,18779.88,0.56,Long,EC,CORP,US,N,1,N,N,N
