Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CMAY,,2SPY  270430C00143730,SPY 04/30/2027 143.73 C,N/A,SPY 04/30/2027 143.73 C,2SPY  270430C00143730,,SPY-C143.73-20270430,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Call,Purchased,143.73,USD,2027-04-30,0.5400,indexBasket,S&P 500 Index,SPX,,,,,118058.22,3935274.08,78.73,,,,,,,,,,,,,,,,,,,,
CMAY,,2SPY  270430C00797710,SPY 04/30/2027 797.71 C,N/A,SPY 04/30/2027 797.71 C,2SPY  270430C00797710,,SPY-C797.71-20270430,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Call,Written,797.71,USD,2027-04-30,0.6000,indexBasket,S&P 500 Index,SPX,,,,,2090.65,-209065.15,-4.18,,,,,,,,,,,,,,,,,,,,
CMAY,,2SPY  270430P00610860,SPY 04/30/2027 610.86 P,N/A,SPY 04/30/2027 610.86 P,2SPY  270430P00610860,,SPY-P610.86-20270430,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Put,Written,610.86,USD,2027-04-30,-0.6200,indexBasket,S&P 500 Index,SPX,,,,,2550.25,-85008.35,-1.70,,,,,,,,,,,,,,,,,,,,
CMAY,,2SPY  270430P00718660,SPY 04/30/2027 718.66 P,N/A,SPY 04/30/2027 718.66 P,2SPY  270430P00718660,,SPY-P718.66-20270430,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Put,Purchased,718.66,USD,2027-04-30,-0.7100,indexBasket,S&P 500 Index,SPX,,,,,3982.06,199103.09,3.98,,,,,,,,,,,,,,,,,,,,
CMAY,912828ZN3 Govt,912828ZN3,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 04/30/2027,912828ZN3,US912828ZN34,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-04-30,Fixed,0.5,,,
CMAY,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
