holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
EOG,EOG Resources Inc,XWTZDRYZPBUHIQBKDB46,EOG Resources Inc,26875P101,US26875P1012,EOG,675,NS,USD,89660.25,2.74,Long,EC,CORP,US,N,1,N,N,N
EQT,EQT Corp,4NT01YGM4X7ZX86ISY52,EQT Corp,26884L109,US26884L1098,EQT,1053,NS,USD,54587.52,1.67,Long,EC,CORP,US,N,1,N,N,N
FANG,Diamondback Energy Inc,549300R22LSX6OHWEN64,Diamondback Energy Inc,25278X109,US25278X1090,FANG,324,NS,USD,60847.2,1.86,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,58566.23,NS,USD,58566.23,1.79,Long,STIV,RF,US,N,1,N,N,N
GD,General Dynamics Corp,9C1X8XOOTYY2FNYTVH06,General Dynamics Corp,369550108,US3695501086,GD,297,NS,USD,101977.92,3.12,Long,EC,CORP,US,N,1,N,N,N
HAL,Halliburton Co,ENYF8GB5SMQZ25S06U51,Halliburton Co,406216101,US4062161017,HAL,1323,NS,USD,46529.91,1.42,Long,EC,CORP,US,N,1,N,N,N
HII,Huntington Ingalls Industries ,5TZLZ6WJTBVJ0QWBG121,Huntington Ingalls Industries Inc,446413106,US4464131063,HII,108,NS,USD,30044.52,0.92,Long,EC,CORP,US,N,1,N,N,N
HP,Helmerich & Payne Inc,254900NAOGHJ88RZ4C73,Helmerich & Payne Inc,423452101,US4234521015,HP,432,NS,USD,15314.4,0.47,Long,EC,CORP,US,N,1,N,N,N
HWM,Howmet Aerospace Inc,549300HO5WFZUT5N2T22,Howmet Aerospace Inc,443201108,US4432011082,HWM,405,NS,USD,113545.8,3.47,Long,EC,CORP,US,N,1,N,N,N
HXL,Hexcel Corp,S6Q7LW43WUBUHXY2QP69,Hexcel Corp,428291108,US4282911084,HXL,270,NS,USD,26773.2,0.82,Long,EC,CORP,US,N,1,N,N,N
KMI,Kinder Morgan Inc,549300WR7IX8XE0TBO16,Kinder Morgan Inc,49456B101,US49456B1017,KMI,2538,NS,USD,81850.5,2.50,Long,EC,CORP,US,N,1,N,N,N
KRMN,Karman Holdings Inc,529900O0VTB7GNU1Z532,Karman Holdings Inc,485924104,US4859241048,KRMN,405,NS,USD,19318.5,0.59,Long,EC,CORP,US,N,1,N,N,N
KTOS,Kratos Defense & Security Solu,5493000EKBN0UY1F3F88,Kratos Defense & Security Solutions Inc,50077B207,US50077B2079,KTOS,567,NS,USD,28968.03,0.89,Long,EC,CORP,US,N,1,N,N,N
LBRT,Liberty Energy Inc,254900PKFJW6RILDCM60,Liberty Energy Inc,53115L104,US53115L1044,LBRT,621,NS,USD,17294.85,0.53,Long,EC,CORP,US,N,1,N,N,N
LDOS,Leidos Holdings Inc,549300IUTGTP6EJP8124,Leidos Holdings Inc,525327102,US5253271028,LDOS,297,NS,USD,31137.48,0.95,Long,EC,CORP,US,N,1,N,N,N
LMT,Lockheed Martin Corp,DPRBOZP0K5RM2YE8UU08,Lockheed Martin Corp,539830109,US5398301094,LMT,243,NS,USD,119944.8,3.67,Long,EC,CORP,US,N,1,N,N,N
LNG,Cheniere Energy Inc,MIHC87W9WTYSYZWV1J40,Cheniere Energy Inc,16411R208,US16411R2085,LNG,297,NS,USD,68562.45,2.10,Long,EC,CORP,US,N,1,N,N,N
LOAR,Loar Holdings Inc,N/A,Loar Holdings Inc,53947R105,US53947R1059,LOAR,270,NS,USD,19172.7,0.59,Long,EC,CORP,US,N,1,N,N,N
MOG/A,Moog Inc,549300WM2I4U7OBAHG07,Moog Inc,615394202,US6153942023,MOG/A,81,NS,USD,32667.3,1.00,Long,EC,CORP,US,N,1,N,N,N
MPC,Marathon Petroleum Corp,3BNYRYQHD39K4LCKQF12,Marathon Petroleum Corp,56585A102,US56585A1025,MPC,378,NS,USD,93475.62,2.86,Long,EC,CORP,US,N,1,N,N,N
MRCY,Mercury Systems Inc,549300P3B84SGK7HH679,Mercury Systems Inc,589378108,US5893781089,MRCY,243,NS,USD,27157.68,0.83,Long,EC,CORP,US,N,1,N,N,N
MTDR,Matador Resources Co,549300CI3Q2UUK5R4G79,Matador Resources Co,576485205,US5764852050,MTDR,432,NS,USD,21885.12,0.67,Long,EC,CORP,US,N,1,N,N,N
NPK,National Presto Industries Inc,N/A,National Presto Industries Inc,637215104,US6372151042,NPK,54,NS,USD,6916.86,0.21,Long,EC,CORP,US,N,1,N,N,N
OKE,ONEOK Inc,2T3D6M0JSY48PSZI1Q41,ONEOK Inc,682680103,US6826801036,OKE,864,NS,USD,74554.56,2.28,Long,EC,CORP,US,N,1,N,N,N
OLN,Olin Corp,549300GKK294V7W57P06,Olin Corp,680665205,US6806652052,OLN,648,NS,USD,13957.92,0.43,Long,EC,CORP,US,N,1,N,N,N
ONDS,Ondas Inc,549300JWLHDUB82V8607,Ondas Inc,68236H204,US68236H2040,ONDS,1836,NS,USD,16322.04,0.50,Long,EC,CORP,US,N,1,N,N,N
OXY,Occidental Petroleum Corp,IM7X0T3ECJW4C1T7ON55,Occidental Petroleum Corp,674599105,US6745991058,OXY,1188,NS,USD,61776,1.89,Long,EC,CORP,US,N,1,N,N,N
PLTR,Palantir Technologies Inc,549300UVN46B3BBDHO85,Palantir Technologies Inc,69608A108,US69608A1088,PLTR,1161,NS,USD,138739.5,4.24,Long,EC,CORP,US,N,1,N,N,N
