holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
GEMI,Gemini Space Station Inc,N/A,Gemini Space Station Inc,36866J105,US36866J1051,GEMI,5120,NS,USD,23398.4,1.73,Long,EC,CORP,US,N,1,N,N,N
GLXY,Galaxy Digital Inc,9845001C4070E5N07806,Galaxy Digital Inc,36317J209,US36317J2096,GLXY,1700,NS,USD,56304,4.15,Long,EC,CORP,US,N,1,N,N,N
GPGI,GPGI Inc,N/A,GPGI Inc,20459V105,US20459V1052,GPGI,2650,NS,USD,38001,2.80,Long,EC,CORP,US,N,1,N,N,N
HIVE,Hive Digital Technologies Ltd,5493004QCZ1QBI9FS784,Hive Digital Technologies Ltd,433921103,CA4339211035,HIVE,10690,NS,USD,52381,3.87,Long,EC,CORP,CA,N,1,N,N,N
HOOD,Robinhood Markets Inc,213800FS5AO3YWIE6F63,Robinhood Markets Inc,770700102,US7707001027,HOOD,530,NS,USD,56026.3,4.13,Long,EC,CORP,US,N,1,N,N,N
HUT,HUT 8 CORP,98450066FEF9C1D3FC20,HUT 8 CORP,44812J104,US44812J1043,HUT,640,NS,USD,77465.6,5.72,Long,EC,CORP,US,N,1,N,N,N
IREN,IREN Ltd,254900FZF02RB3NNGB71,IREN Ltd,N/A,AU0000185993,IREN,1220,NS,USD,69381.4,5.12,Long,EC,CORP,AU,N,1,N,N,N
MARA,MARA Holdings Inc,549300M8ISKPTX2W7F94,MARA Holdings Inc,565788106,US5657881067,MARA,3680,NS,USD,54648,4.03,Long,EC,CORP,US,N,1,N,N,N
PYPL,PayPal Holdings Inc,5493005X2GO78EFZ3E94,PayPal Holdings Inc,70450Y103,US70450Y1038,PYPL,640,NS,USD,27097.6,2.00,Long,EC,CORP,US,N,1,N,N,N
RIOT,Riot Platforms Inc,5299005LKZAJQDQZDF73,Riot Platforms Inc,767292105,US7672921050,RIOT,2560,NS,USD,73292.8,5.41,Long,EC,CORP,US,N,1,N,N,N
SLNH,Soluna Holdings Inc,N/A,Soluna Holdings Inc,583543301,US5835433013,SLNH,16240,NS,USD,27120.8,2.00,Long,EC,CORP,US,N,1,N,N,N
WULF,Terawulf Inc,254900CVMW1SX2T78A64,Terawulf Inc,88080T104,US88080T1043,WULF,2450,NS,USD,69359.5,5.12,Long,EC,CORP,US,N,1,N,N,N
XYZ,Block Inc,549300OHIIUWSTIZME52,Block Inc,852234103,US8522341036,XYZ,310,NS,USD,22651.7,1.67,Long,EC,CORP,US,N,1,N,N,N
