holdingId,derivCat,counterpartyName,counterpartyLei,refInstType,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,swapFlag,terminationDt,notionalAmt,swapCurCd,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit
464286772-TRS-07/07/27-L-CLST,SWP,Clear Street LLC,549300KNQS43Y7TO3X67,otherRefInst,ISHARES MSCI SOUTH KOREA ETF,ISHARES MSCI SOUTH KOREA ETF,464286772,US4642867729,EWY,Y,2027-07-07,677647.88,USD,Other,Total return of iShares MSCI South Korea ETF,Floating,USD-SOFR,0.50,677647.88,USD,Month,3
464286772-TRS-12/01/27-L-CANT,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,otherRefInst,ISHARES MSCI SOUTH KOREA ETF,ISHARES MSCI SOUTH KOREA ETF,464286772,US4642867729,EWY,Y,2027-12-01,308818.20,USD,Other,Total return of iShares MSCI South Korea ETF,Floating,USD-SOFR,0.14,308818.20,USD,Month,3
