Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
XPAV,37954Y673 Equity,37954Y673-TRS-07/07/27-L-CLST,N/A,N/A,GLOBAL X U.S. INFRASTRUCTURE DEVELOPMENT ETF-SWAP-CLST-L,37954Y673-TRS-07/07/27-L-CLST,,37954Y673-TRS-07/07/27-L-CLST,US,DE,OTHER,SWP,CLST,PH3GC4D422NYQR1MOV68,,,,,,,otherRefInst,,,Y,2027-07-07,538076.92,USD,10761.54,538076.92,200.16,Other,Total return of Global X US Infrastructure Dev,Floating,USD-SOFR,0.46,538076.92,USD,Month,3,Global X US Infrastructure Dev,GLOBAL X US INFRASTRUCTURE,37954Y673,US37954Y6730,PAVE,,,,,,
XPAV,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
