Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
QQJN,,2QQQ  270528C00148550,QQQ 05/28/2027 148.55 C,N/A,QQQ 05/28/2027 148.55 C,2QQQ  270528C00148550,,QQQ-C148.55-20270528,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Call,Purchased,148.55,USD,2027-05-28,N/A,indexBasket,NASDAQ 100 Index,NDX,,,,,,957222.09,76.62,,,,,,,,,,,,,,,,,,,,
QQJN,,2QQQ  270528C00880220,QQQ 05/28/2027 880.22 C,N/A,QQQ 05/28/2027 880.22 C,2QQQ  270528C00880220,,QQQ-C880.22-20270528,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Call,Written,880.22,USD,2027-05-28,N/A,indexBasket,NASDAQ 100 Index,NDX,,,,,,-50780.5,-4.06,,,,,,,,,,,,,,,,,,,,
QQJN,,2QQQ  270528P00631330,QQQ 05/28/2027 631.33 P,N/A,QQQ 05/28/2027 631.33 P,2QQQ  270528P00631330,,QQQ-P631.33-20270528,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Put,Written,631.33,USD,2027-05-28,N/A,indexBasket,NASDAQ 100 Index,NDX,,,,,,-46949.82,-3.76,,,,,,,,,,,,,,,,,,,,
QQJN,,2QQQ  270528P00742740,QQQ 05/28/2027 742.74 P,N/A,QQQ 05/28/2027 742.74 P,2QQQ  270528P00742740,,QQQ-P742.74-20270528,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Put,Purchased,742.74,USD,2027-05-28,N/A,indexBasket,NASDAQ 100 Index,NDX,,,,,,99676.37,7.98,,,,,,,,,,,,,,,,,,,,
QQJN,912828ZS2 Govt,912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-05-31,Fixed,0.5,,,
QQJN,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
