holdingId,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
912828ZS2,2027-05-31,Fixed,0.5,N,N,N
91282CMY4,2027-04-30,Fixed,3.75,N,N,N
