Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CTJN,,2SPY  270528C00151710,SPY 05/28/2027 151.71 C,N/A,SPY 05/28/2027 151.71 C,2SPY  270528C00151710,,SPY-C151.71-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Call,Purchased,151.71,USD,2027-05-28,0.3800,indexBasket,S&P 500 Index,SPX,,,,,7786.42,778641.86,78.18,,,,,,,,,,,,,,,,,,,,
CTJN,,2SPY  270528C00865650,SPY 05/28/2027 865.65 C,N/A,SPY 05/28/2027 865.65 C,2SPY  270528C00865650,,SPY-C865.65-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Call,Written,865.65,USD,2027-05-28,0.2500,indexBasket,S&P 500 Index,SPX,,,,,494.89,-16496.37,-1.66,,,,,,,,,,,,,,,,,,,,
CTJN,,2SPY  270528P00493050,SPY 05/28/2027 493.05 P,N/A,SPY 05/28/2027 493.05 P,2SPY  270528P00493050,,SPY-P493.05-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Put,Written,493.05,USD,2027-05-28,-0.7000,indexBasket,S&P 500 Index,SPX,,,,,-303.28,-7582.04,-0.76,,,,,,,,,,,,,,,,,,,,
CTJN,,2SPY  270528P00720610,SPY 05/28/2027 720.61 P,N/A,SPY 05/28/2027 720.61 P,2SPY  270528P00720610,,SPY-P720.61-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Put,Purchased,720.61,USD,2027-05-28,-0.5600,indexBasket,S&P 500 Index,SPX,,,,,2120.26,42405.19,4.26,,,,,,,,,,,,,,,,,,,,
CTJN,912828ZS2 Govt,912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-05-31,Fixed,0.5,,,
CTJN,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
