holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
CRM,Salesforce Inc,RCGZFPDMRW58VJ54VR07,Salesforce Inc,79466L302,US79466L3024,CRM,182,NS,USD,27321.84,1.35,Long,EC,CORP,US,N,1,N,N,N
CSCO,Cisco Systems Inc,549300LKFJ962MZ46593,Cisco Systems Inc,17275R102,US17275R1023,CSCO,476,NS,USD,57848.28,2.86,Long,EC,CORP,US,N,1,N,N,N
DASH,DoorDash Inc,549300NUQ43FGGSK5051,DoorDash Inc,25809K105,US25809K1051,DASH,112,NS,USD,19272.96,0.95,Long,EC,CORP,US,N,1,N,N,N
EBAY,eBay Inc,OML71K8X303XQONU6T67,eBay Inc,278642103,US2786421030,EBAY,168,NS,USD,17629.92,0.87,Long,EC,CORP,US,N,1,N,N,N
ESS,Essex Property Trust Inc,549300TR2H2VEFX0NC60,Essex Property Trust Inc,297178105,US2971781057,ESS,42,NS,USD,11603.76,0.57,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,27291.07,NS,USD,27291.07,1.35,Long,STIV,RF,US,N,1,N,N,N
FTNT,Fortinet Inc,549300O0QJWDBAS0QX03,Fortinet Inc,34959E109,US34959E1091,FTNT,238,NS,USD,34602.82,1.71,Long,EC,CORP,US,N,1,N,N,N
GILD,Gilead Sciences Inc,549300WTZWR07K8MNV44,Gilead Sciences Inc,375558103,US3755581036,GILD,252,NS,USD,31467.24,1.56,Long,EC,CORP,US,N,1,N,N,N
GOOGL,Alphabet Inc,5493006MHB84DD0ZWV18,Alphabet Inc,02079K305,US02079K3059,GOOGL,252,NS,USD,88119.36,4.36,Long,EC,CORP,US,N,1,N,N,N
HOOD,Robinhood Markets Inc,213800FS5AO3YWIE6F63,Robinhood Markets Inc,770700102,US7707001027,HOOD,252,NS,USD,26638.92,1.32,Long,EC,CORP,US,N,1,N,N,N
