holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
500767306-TRS-12/01/27-L-CANT,N/A,N/A,KRANESHARES CSI CHINA INTERNET ETF-SWAP-CANT-L,N/A,,500767306-TRS-12/01/27-L-CANT,1,NC,USD,967456.05,200.05,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,500767306-TRS-12/01/27-L-CANT
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,53179.43,NS,USD,53179.43,11.00,Long,STIV,RF,US,N,1,N,N,N,,,
