Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
CTMA,,2SPY  270430C00144740,SPY 04/30/2027 144.74 C,N/A,SPY 04/30/2027 144.74 C,2SPY  270430C00144740,,SPY-C144.74-20270430,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Call,Purchased,144.74,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX,,,,,,3868487.33,82.06,,,,,,,,,,,,,,,,,,,,
CTMA,,2SPY  270430C00806940,SPY 04/30/2027 806.94 C,N/A,SPY 04/30/2027 806.94 C,2SPY  270430C00806940,,SPY-C806.94-20270430,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Call,Written,806.94,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX,,,,,,-179572.09,-3.81,,,,,,,,,,,,,,,,,,,,
CTMA,,2SPY  270430P00470410,SPY 04/30/2027 470.41 P,N/A,SPY 04/30/2027 470.41 P,2SPY  270430P00470410,,SPY-P470.41-20270430,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Put,Written,470.41,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX,,,,,,-28528.03,-0.61,,,,,,,,,,,,,,,,,,,,
CTMA,,2SPY  270430P00687520,SPY 04/30/2027 687.52 P,N/A,SPY 04/30/2027 687.52 P,2SPY  270430P00687520,,SPY-P687.52-20270430,US,DE,CORP,OPT,The Options Clearing Corporation,549300CII6SLYGKNHA04,Put,Purchased,687.52,USD,2027-04-30,N/A,indexBasket,S&P 500 Index,SPX,,,,,,153488.92,3.26,,,,,,,,,,,,,,,,,,,,
CTMA,91282CMY4 Govt,91282CMY4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 04/30/2027,91282CMY4,US91282CMY48,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-04-30,Fixed,3.75,,,
CTMA,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
