holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
81369Y506-TRS-12/01/27-L-CANT,N/A,N/A,STATE STREET ENERGY SELECT SECTOR SPDR ETF-SWAP-CANT-L,N/A,,81369Y506-TRS-12/01/27-L-CANT,1,NC,USD,1091363.28,199.90,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,81369Y506-TRS-12/01/27-L-CANT
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,63852.68,NS,USD,63852.68,11.70,Long,STIV,RF,US,N,1,N,N,N,,,
