holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund
DGII,Digi International Inc,529900KG656HGROI4N27,Digi International Inc,253798102,US2537981027,DGII,850,NS,USD,58463,1.92,Long,EC,CORP,US,N,1,N,N,N
DT,Dynatrace Inc,6488T0Z33CE9L61EX904,Dynatrace Inc,268150109,US2681501092,DT,2950,NS,USD,119357,3.92,Long,EC,CORP,US,N,1,N,N,N
ESTC,Elastic NV,2549003I48WHHH937I59,Elastic NV,N/A,NL0013056914,ESTC,1550,NS,USD,91031.5,2.99,Long,EC,CORP,US,N,1,N,N,N
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,46178.2,NS,USD,46178.2,1.52,Long,STIV,RF,US,N,1,N,N,N
INVE,Identiv Inc,5299008KH3C585Z0DS77,Identiv Inc,45170X205,US45170X2053,INVE,3325,NS,USD,13100.5,0.43,Long,EC,CORP,US,N,1,N,N,N
IOT,Samsara Inc,529900IE80DQBIFK3M88,Samsara Inc,79589L106,US79589L1061,IOT,3400,NS,USD,105876,3.48,Long,EC,CORP,US,N,1,N,N,N
LDOS,Leidos Holdings Inc,549300IUTGTP6EJP8124,Leidos Holdings Inc,525327102,US5253271028,LDOS,900,NS,USD,94356,3.10,Long,EC,CORP,US,N,1,N,N,N
LHX,L3Harris Technologies Inc,549300UTE50ZMDBG8A20,L3Harris Technologies Inc,502431109,US5024311095,LHX,500,NS,USD,142915,4.70,Long,EC,CORP,US,N,1,N,N,N
MITK,Mitek Systems Inc,549300ABZAQ3R25XG118,Mitek Systems Inc,606710200,US6067102003,MITK,2150,NS,USD,37216.5,1.22,Long,EC,CORP,US,N,1,N,N,N
MSI,Motorola Solutions Inc,6S552MUG6KGJVEBSEC55,Motorola Solutions Inc,620076307,US6200763075,MSI,525,NS,USD,205920.75,6.77,Long,EC,CORP,US,N,1,N,N,N
NIQ,NIQ Global Intelligence Plc,529900Z0P0XAM4O3H416,NIQ Global Intelligence Plc,N/A,IE000JMT8VI3,NIQ,3400,NS,USD,27268,0.90,Long,EC,CORP,US,N,1,N,N,N
OSIS,OSI Systems Inc,DDX3MPX1Y8YD30050X33,OSI Systems Inc,671044105,US6710441055,OSIS,250,NS,USD,54815,1.80,Long,EC,CORP,US,N,1,N,N,N
PI,Impinj Inc,549300M26VGKSMMWWN17,Impinj Inc,453204109,US4532041096,PI,475,NS,USD,62505.25,2.05,Long,EC,CORP,US,N,1,N,N,N
PL,Planet Labs PBC,254900Q7PVI3HTQBRB44,Planet Labs PBC,72703X106,US72703X1063,PL,2500,NS,USD,71925,2.36,Long,EC,CORP,US,N,1,N,N,N
PLTR,Palantir Technologies Inc,549300UVN46B3BBDHO85,Palantir Technologies Inc,69608A108,US69608A1088,PLTR,3075,NS,USD,367462.5,12.08,Long,EC,CORP,US,N,1,N,N,N
RSKD,Riskified Ltd,894500GU19M0O0BYWM49,Riskified Ltd,N/A,IL0011786493,RSKD,5000,NS,USD,24300,0.80,Long,EC,CORP,IL,N,1,N,N,N
SAIL,SailPoint Inc,529900IRT8OM8CEOPC03,SailPoint Inc,78781J109,US78781J1097,SAIL,3075,NS,USD,38837.25,1.28,Long,EC,CORP,US,N,1,N,N,N
SATL,Satellogic Inc,5299009D26BMHHTAHA11,Satellogic Inc,80401C100,US80401C1009,SATL,4600,NS,USD,26105,0.86,Long,EC,CORP,US,N,1,N,N,N
SPIR,Spire Global Inc,549300EZFBLFFHJ5MF06,Spire Global Inc,848560306,US8485603067,SPIR,1550,NS,USD,26768.5,0.88,Long,EC,CORP,US,N,1,N,N,N
TDY,Teledyne Technologies Inc,549300VSMO9KYQWDND94,Teledyne Technologies Inc,879360105,US8793601050,TDY,250,NS,USD,154162.5,5.07,Long,EC,CORP,US,N,1,N,N,N
TRMB,Trimble Inc,549300E2MI7NSZFQWS19,Trimble Inc,896239100,US8962391004,TRMB,1775,NS,USD,87383.25,2.87,Long,EC,CORP,US,N,1,N,N,N
TYL,Tyler Technologies Inc,25490040SMU4Z8LBCW70,Tyler Technologies Inc,902252105,US9022521051,TYL,350,NS,USD,96344.5,3.17,Long,EC,CORP,US,N,1,N,N,N
VRNS,Varonis Systems Inc,549300SHIVNRRH7STS26,Varonis Systems Inc,922280102,US9222801022,VRNS,2250,NS,USD,73597.5,2.42,Long,EC,CORP,US,N,1,N,N,N
YOU,Clear Secure Inc,N/A,Clear Secure Inc,18467V109,US18467V1098,YOU,1300,NS,USD,67548,2.22,Long,EC,CORP,US,N,1,N,N,N
ZBRA,Zebra Technologies Corp,PO0I32GKZ3HZMMDPZZ08,Zebra Technologies Corp,989207105,US9892071054,ZBRA,450,NS,USD,110560.5,3.63,Long,EC,CORP,US,N,1,N,N,N
