holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
IWM-C57.79-20270528,IWM 05/28/2027 57.79 C,N/A,IWM 05/28/2027 57.79 C,N/A,,IWM-C57.79-20270528,34.0,NC,USD,819984.47,80.39,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-C57.79-20270528
IWM-C345.56-20270528,IWM 05/28/2027 345.56 C,N/A,IWM 05/28/2027 345.56 C,N/A,,IWM-C345.56-20270528,34.0,NC,USD,-39791.12,-3.90,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-C345.56-20270528
IWM-P245.61-20270528,IWM 05/28/2027 245.61 P,N/A,IWM 05/28/2027 245.61 P,N/A,,IWM-P245.61-20270528,34.0,NC,USD,-26104.5,-2.56,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-P245.61-20270528
IWM-P288.95-20270528,IWM 05/28/2027 288.95 P,N/A,IWM 05/28/2027 288.95 P,N/A,,IWM-P288.95-20270528,34.0,NC,USD,61356.79,6.02,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,IWM-P288.95-20270528
912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,187000,PA,USD,180825.86,17.73,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,23722.76,NS,USD,23722.76,2.33,Long,STIV,RF,US,N,1,N,N,N,,
