holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,otherDesc,otherValue
SPY-C144.74-20270430,SPY 04/30/2027 144.74 C,N/A,SPY 04/30/2027 144.74 C,N/A,,SPY-C144.74-20270430,65.0,NC,USD,3928932.45,81.79,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C144.74-20270430
SPY-C770.75-20270430,SPY 04/30/2027 770.75 C,N/A,SPY 04/30/2027 770.75 C,N/A,,SPY-C770.75-20270430,65.0,NC,USD,-299987.06,-6.24,Short,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-C770.75-20270430
SPY-P723.71-20270430,SPY 04/30/2027 723.71 P,N/A,SPY 04/30/2027 723.71 P,N/A,,SPY-P723.71-20270430,65.0,NC,USD,207172.89,4.31,Long,DE,CORP,US,N,2,N,N,N,USER DEFINED,SPY-P723.71-20270430
91282CMY4,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 3.75% 04/30/2027,91282CMY4,US91282CMY48,,919000,PA,USD,916462.82,19.08,Long,DBT,UST,US,N,2,N,N,N,,
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,131947.99,NS,USD,131947.99,2.75,Long,STIV,RF,US,N,1,N,N,N,,
