holdingId,name,lei,title,cusip,isin,ticker,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,isCashCollateral,isNonCashCollateral,isLoanByFund,issuerConditionalDesc,otherDesc,otherValue
922042858-TRS-07/07/27-L-CLST,N/A,N/A,VANGUARD EMERGING MARKETS STOCK INDEX FUND-SWAP-CLST-L,N/A,,922042858-TRS-07/07/27-L-CLST,1,NC,USD,996252.32,200.17,N/A,DE,OTHER,US,N,2,N,N,N,N/A,USER DEFINED,922042858-TRS-07/07/27-L-CLST
FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,182262.03,NS,USD,182262.03,36.62,Long,STIV,RF,US,N,1,N,N,N,,,
