fund,field,source,as_of,value
EYES,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
EYES,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
EYES,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,153568.71
EYES,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
EYES,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-458745.75
EYES,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,732.47
FDRS,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,-868449.75
FDRS,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,-788520.00
FDRS,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-174418.82
FDRS,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,10714671.86
FDRS,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-415386.43
FDRS,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-9913495.93
FDRS,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,31344.30
FDRX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,-1098696.15
FDRX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,951436.51
FDRX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-33857.11
FDRX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,4553624.15
FDRX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-142837.30
FDRX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-4381785.50
FDRX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,533718.36
GASZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GASZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GASZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-4961.44
GASZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-191332.04
GASZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GASZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,707890.41
GASZ,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,2062.24
GLAM,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GLAM,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GLAM,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-14.64
GLAM,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-3949.79
GLAM,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GLAM,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,73450.60
GLAM,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,324.11
GNMX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
GNMX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
GNMX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
GNMX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,81678.03
GNMX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
GNMX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,121835.41
GNMX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,340.68
HJUN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HJUN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HJUN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HJUN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
HJUN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-139.65
HJUN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-2904.07
HJUN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,253.21
HMAY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HMAY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HMAY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HMAY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,40287.63
HMAY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1403.39
HMAY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-14293.50
HMAY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,610.65
HULL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
HULL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
HULL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
HULL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-61241.68
HULL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
HULL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-27946.82
HULL,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,642.98
IDJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
IDJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
IDJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
IDJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
IDJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-15598.57
IDJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,3437.03
IDJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,309.29
IDMY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
IDMY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
IDMY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
IDMY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-27283.00
IDMY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-7543.28
IDMY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-24414.77
IDMY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,609.37
JOUL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
JOUL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
JOUL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
JOUL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-119002.54
JOUL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
JOUL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,290183.12
JOUL,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,1737.42
JUNC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
JUNC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
JUNC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
JUNC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
JUNC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-136.70
JUNC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-15234.90
JUNC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,277.33
KEYX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
KEYX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
KEYX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
KEYX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
KEYX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
KEYX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-1983.26
KEYX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.68
KRWX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
KRWX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
KRWX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
KRWX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
KRWX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,280064.85
KRWX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-28744.82
KRWX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,25397.58
KYC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
KYC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
KYC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
KYC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,-351.44
KYC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
KYC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-67945.92
KYC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,323.40
LASC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
LASC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
LASC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
LASC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
LASC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
LASC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-19934.06
LASC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.98
LATR,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
LATR,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
LATR,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
LATR,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,60604.04
LATR,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
LATR,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,35416.92
LATR,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,345.59
LRNX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
LRNX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
LRNX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
LRNX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
LRNX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
LRNX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,10869.30
LRNX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.22
MAYC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
MAYC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
MAYC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
MAYC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,149438.95
MAYC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-14614.73
MAYC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-39710.68
MAYC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,553.88
MGKX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
MGKX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
MGKX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
MGKX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
MGKX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-6223.42
MGKX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-44948.92
MGKX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,9483.84
MNSX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
MNSX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
MNSX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
MNSX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
MNSX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
MNSX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,5212.30
MNSX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.07
MSIX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
MSIX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
MSIX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
MSIX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
MSIX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
MSIX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,14096.25
MSIX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.77
NYNY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
NYNY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
NYNY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
NYNY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,23665.36
NYNY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
NYNY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,15384.93
NYNY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,189.07
ODDZ,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ODDZ,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ODDZ,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ODDZ,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,2575.75
ODDZ,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,61756.86
ODDZ,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,37289.31
ODDZ,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,379.80
ONTX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
ONTX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
ONTX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
ONTX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
ONTX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
ONTX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,9883.55
ONTX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.03
OWN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
OWN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
OWN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
OWN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
OWN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,3378.43
OWN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-77612.56
OWN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,694.78
PTNT,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
PTNT,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
PTNT,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-766.41
PTNT,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,94341.62
PTNT,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
PTNT,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-60236.53
PTNT,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,342.25
QJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
QJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
QJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
QJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
QJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-138.92
QJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-23877.82
QJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,238.33
QMY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
QMY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
QMY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
QMY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,190630.01
QMY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,7400.30
QMY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-125264.53
QMY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,609.62
QQJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
QQJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
QQJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
QQJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
QQJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-140.40
QQJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-18633.12
QQJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,276.89
QQMY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
QQMY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
QQMY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
QQMY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,192881.06
QQMY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,14571.88
QQMY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-103934.17
QQMY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,610.33
RMBC,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
RMBC,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
RMBC,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
RMBC,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
RMBC,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
RMBC,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-14460.74
RMBC,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.49
SCJN,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
SCJN,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
SCJN,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
SCJN,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
SCJN,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-138.18
SCJN,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,17152.76
SCJN,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,242.40
SCMY,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
SCMY,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
SCMY,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
SCMY,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,55920.23
SCMY,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,1925.23
SCMY,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,49618.91
SCMY,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,599.13
SIMX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
SIMX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
SIMX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
SIMX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
SIMX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
SIMX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,3990.20
SIMX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.05
STYL,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
STYL,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
STYL,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,-389.44
STYL,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,31904.38
STYL,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
STYL,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,4816.95
STYL,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,333.62
TAJX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
TAJX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
TAJX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
TAJX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
TAJX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-644.95
TAJX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,50359.56
TAJX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,4722.63
TPLX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
TPLX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
TPLX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
TPLX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
TPLX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
TPLX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,10283.60
TPLX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,78.90
UMCX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
UMCX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
UMCX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
UMCX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
UMCX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
UMCX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,34122.68
UMCX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,77.52
USX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
USX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
USX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
USX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
USX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1537.37
USX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-16552.19
USX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,3988.13
VBX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
VBX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
VBX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
VBX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
VBX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-680.89
VBX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,2600.42
VBX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,3542.91
VOOX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
VOOX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
VOOX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
VOOX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
VOOX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-2491.95
VOOX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-20868.93
VOOX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,6049.71
WATS,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
WATS,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
WATS,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
WATS,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,203146.61
WATS,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
WATS,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-430512.27
WATS,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,493.81
WEBX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
WEBX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
WEBX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
WEBX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
WEBX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-12557.46
WEBX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-100601.48
WEBX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,15783.08
WNDR,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
WNDR,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
WNDR,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
WNDR,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,30555.85
WNDR,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
WNDR,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,99110.55
WNDR,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,340.20
WR,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
WR,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
WR,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
WR,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,47623.88
WR,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
WR,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-219887.29
WR,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,782.02
WX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
WX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
WX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
WX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
WX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-2482.93
WX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-14487.72
WX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,5627.05
XA,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XA,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XA,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XA,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,505251.38
XA,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,0.00
XA,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-130896.96
XA,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,616.19
XAGI,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XAGI,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XAGI,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XAGI,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XAGI,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-17565.35
XAGI,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,-42177.97
XAGI,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,22619.74
XBIX,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XBIX,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
XBIX,netRealizedGainMon2,EagleSTAR TrialBalance,20260624,0.00
XBIX,netUnrealizedApprMon2,EagleSTAR TrialBalance,20260624,0.00
XBIX,netRealizedGainMon3,EagleSTAR TrialBalance,20260624,-1166.36
XBIX,netUnrealizedApprMon3,EagleSTAR TrialBalance,20260624,204439.11
XBIX,amtPayOneYrOther,EagleSTAR TrialBalance,20260624,5117.18
XCOM,netRealizedGainMon1,EagleSTAR TrialBalance,20260624,0.00
XCOM,netUnrealizedApprMon1,EagleSTAR TrialBalance,20260624,0.00
