Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
JUNC,,2SPY  270528C00151710,SPY 05/28/2027 151.71 C,N/A,SPY 05/28/2027 151.71 C,2SPY  270528C00151710,,SPY-C151.71-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Call,Purchased,151.71,USD,2027-05-28,0.4500,indexBasket,S&P 500 Index,SPX,,,,,-28749.85,958328.45,77.07,,,,,,,,,,,,,,,,,,,,
JUNC,,2SPY  270528C00896220,SPY 05/28/2027 896.22 C,N/A,SPY 05/28/2027 896.22 C,2SPY  270528C00896220,,SPY-C896.22-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Call,Written,896.22,USD,2027-05-28,0.3600,indexBasket,S&P 500 Index,SPX,,,,,-117.64,-11764.13,-0.95,,,,,,,,,,,,,,,,,,,,
JUNC,,2SPY  270528P00682690,SPY 05/28/2027 682.69 P,N/A,SPY 05/28/2027 682.69 P,2SPY  270528P00682690,,SPY-P682.69-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Put,Written,682.69,USD,2027-05-28,-0.6100,indexBasket,S&P 500 Index,SPX,,,,,0.00,-39196,-3.15,,,,,,,,,,,,,,,,,,,,
JUNC,,2SPY  270528P00758540,SPY 05/28/2027 758.54 P,N/A,SPY 05/28/2027 758.54 P,2SPY  270528P00758540,,SPY-P758.54-20270528,US,DE,CORP,OPT,Options Clearing Corp,T3UUSPI22ZN3MDB3ZK90,Put,Purchased,758.54,USD,2027-05-28,-0.3500,indexBasket,S&P 500 Index,SPX,,,,,-2086.06,69535.36,5.59,,,,,,,,,,,,,,,,,,,,
JUNC,912828ZS2 Govt,912828ZS2,United States Treasury Note/Bo,254900HROIFWPRGM1V77,United States Treasury Note/Bond 0.5% 05/31/2027,912828ZS2,US912828ZS21,,US,DBT,UST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027-05-31,Fixed,0.5,,,
JUNC,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
