Account,bbgid,rawTicker,name,lei,title,cusip,isin,ticker,invCountry,assetCat,issuerCat,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,exercisePrice,exercisePriceCurCd,expDt,delta,refInstType,refIndexName,refIndexIdentifier,swapFlag,terminationDt,notionalAmt,swapCurCd,unrealizedAppr,valUSD,pctVal,recFixedOrFloating,recDesc,pmntFixedOrFloating,pmntFloatingRtIndex,pmntFloatingRtSpread,pmntPmntAmt,pmntCurCdLeg,pmntRateTenor,pmntRateUnit,refIssuerName,refIssueTitle,refCusip,refIsin,refTicker,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind
KRWX,464286772 Equity,464286772-TRS-07/07/27-L-CLST,N/A,N/A,ISHARES MSCI SOUTH KOREA ETF-SWAP-CLST-L,464286772-TRS-07/07/27-L-CLST,,464286772-TRS-07/07/27-L-CLST,US,DE,OTHER,SWP,Clear Street LLC,549300KNQS43Y7TO3X67,,,,,,,otherRefInst,,,Y,2027-07-07,677647.88,USD,,677647.88,137.46,Other,Total return of iShares MSCI South Korea ETF,Floating,USD-SOFR,0.50,677647.88,USD,Month,3,iShares MSCI South Korea ETF,ISHARES MSCI SOUTH KOREA ETF,464286772,US4642867729,EWY,,,,,,
KRWX,464286772 Equity,464286772-TRS-12/01/27-L-CANT,N/A,N/A,ISHARES MSCI SOUTH KOREA ETF-SWAP-CANT-L,464286772-TRS-12/01/27-L-CANT,,464286772-TRS-12/01/27-L-CANT,US,DE,OTHER,SWP,Cantor Fitzgerald & Co.,5493004J7H4GCPG6OB62,,,,,,,otherRefInst,,,Y,2027-12-01,308818.20,USD,,308818.2,62.64,Other,Total return of iShares MSCI South Korea ETF,Floating,USD-SOFR,0.14,308818.20,USD,Month,3,iShares MSCI South Korea ETF,ISHARES MSCI SOUTH KOREA ETF,464286772,US4642867729,EWY,,,,,,
KRWX,FGXXX US Equity,FGXXX,First American Government Obli,549300R5MYM6VZF1RM44,First American Government Obligations Fund,31846V336,US31846V3362,FGXXX,US,STIV,RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
